id,usuario_id,descripcion,valor,categoria,fecha
1,1669,cargo por el dorado,79.53,Transporte,2025-06-27
2,148,compra en águia branca,125.37,Transporte,2025-08-01
3,277,nexo inmobiliario,699.35,Vivienda,2025-10-27
4,232,surtigas,65.57,Servicios,2025-01-15
5,366,compra en multimercado,158.18,Inversion,2025-08-02
6,1252,debito panama preparatory school,214.39,Educacion,2025-09-28
7,1675,debito motociclo (sección),422.23,Electrodomesticos,2025-06-23
8,436,sefaz-sp,150.06,Servicios,2025-05-12
9,399,giannina azar,418.64,Vestimenta,2025-02-14
10,1235,compra en itaú chile,572.4,Vivienda,2025-08-03
11,1415,clínica san pablo,114.63,Salud,2025-07-23
12,499,compra en maxi despensa,61.35,Alimentacion,2025-05-14
13,540,cargo por mipymes,43.7,Alimentacion,2025-07-06
14,563,rodelag,351.05,Vivienda,2025-04-07
15,1515,cetrogar,397.99,Electrodomesticos,2025-07-02
16,442,pos de prati,245.95,Vestimenta,2025-07-10
17,1285,transferencia a construred / ferretería ochoa,674.26,Vivienda,2025-06-08
18,773,banco unión,556.29,Vivienda,2025-07-19
19,350,consumo komprão,44.19,Alimentacion,2025-03-08
20,1376,debito innova schools,205.7,Educacion,2025-08-19
21,520,debito clínica de trastornos de la alimentación (cta),173.5,Salud,2025-05-01
22,1344,cargo por deposito en broker,246.78,Inversion,2025-06-19
23,138,jose enrique,109.04,Ocio,2025-09-14
24,1574,pago impuesto de rodamiento,69.61,Servicios,2025-07-21
25,1647,pos ikea (online),583.63,Vivienda,2025-11-16
26,992,clínica cumbre,132.1,Salud,2025-03-20
27,368,compra en cabletica play,75.92,Ocio,2025-07-28
28,1244,compra en impuesto sobre la renta (ir),111.14,Servicios,2025-08-30
29,1361,ole,51.94,Alimentacion,2025-09-22
30,1247,pago hospital cira garcía,83.3,Salud,2025-02-09
31,1672,debito aerolíneas argentinas,52.97,Transporte,2025-05-02
32,1792,pago celerity,83.69,Servicios,2025-10-29
33,360,aerogaviota,119.22,Transporte,2025-06-23
34,921,debito banco popular de puerto rico,841.2,Vivienda,2025-08-29
35,329,pago de delivery comida,99.48,Ocio,2025-09-18
36,962,pago gol linhas aéreas,85.91,Transporte,2025-05-27
37,463,bar da dona onça,53.54,Ocio,2025-02-11
38,946,debito construrama,354.22,Vivienda,2025-12-31
39,963,palacio del cine,68.12,Ocio,2025-09-21
40,1585,naturgy,94.48,Servicios,2025-07-23
41,1406,sirena (grupo ramos),67.78,Alimentacion,2025-03-08
42,836,vicios,40.69,Ocio,2025-01-11
43,1614,personal paraguay,34.1,Servicios,2025-10-28
44,1641,pago solgas,45.04,Servicios,2025-03-11
45,169,cargo por colegio americano de guatemala,166.94,Educacion,2025-04-24
46,217,compra en sedacusco,113.38,Servicios,2025-01-27
47,378,itapemirim,112.68,Transporte,2025-12-01
48,119,fondos de inversión (operados por administradoras de fondos de inversión - afis),344.03,Inversion,2025-10-19
49,190,don julio,46.21,Ocio,2025-02-15
50,767,consumo banco bhd león,688.82,Vivienda,2025-08-06
51,370,compra en freidora de aire,297.82,Electrodomesticos,2025-12-06
52,149,compra en café las flores,47.8,Ocio,2025-06-21
53,1700,paranair,136.04,Transporte,2025-01-22
54,652,pago uees (universidad espíritu santo),277.79,Educacion,2025-04-02
55,1512,etecsa,118.96,Servicios,2025-02-15
56,770,compra en latam paraguay (operado por otras filiales latam),90.46,Transporte,2025-02-14
57,374,heb,86.96,Alimentacion,2025-08-06
58,781,jumbo (sección),350.2,Electrodomesticos,2025-03-17
59,1717,pago saesa,58.79,Servicios,2025-12-27
60,160,fondos de inversión (operados por administradoras de fondos de inversión - afisa),157.42,Inversion,2025-02-01
61,351,transferencia a jcpenney,135.7,Vestimenta,2025-01-28
62,1312,compra en tropigas (glp),135.76,Servicios,2025-07-07
63,1312,compra en empresa municipal de agua (empagua),122.74,Servicios,2025-10-31
64,892,coto,72.26,Alimentacion,2025-03-10
65,1250,transferencia a gascom,124.28,Servicios,2025-03-09
66,523,transferencia a colegio alcázares,127.82,Educacion,2025-11-09
67,522,cargo por plomeros 24/7 cr,640.27,Vivienda,2025-03-28
68,783,carrefour brasil,38.85,Alimentacion,2025-05-14
69,273,compra en teatro pirandello,54.25,Ocio,2025-07-28
70,936,compra en compra de criptomonedas,163.12,Inversion,2025-08-12
71,1426,pago cfe división jalisco,129.77,Servicios,2025-04-30
72,183,cre,121.15,Servicios,2025-06-05
73,1689,pago micros / combi (colectivos),171.5,Transporte,2025-09-25
74,488,expreso del sol,68.04,Transporte,2025-11-28
75,846,gollo,372.55,Electrodomesticos,2025-01-07
76,124,pago liberty pr,58.21,Servicios,2025-03-12
77,985,cargo por electrónica panamericana,524.9,Electrodomesticos,2025-11-13
78,1650,cfe división peninsular,104.52,Servicios,2025-03-19
79,790,debito asociación española (servicios dentales),82.1,Salud,2025-01-30
80,414,transferencia a seaborne airlines,184.5,Transporte,2025-07-16
81,1749,pago banco de chile (bolsa de santiago),318.23,Inversion,2025-04-19
82,1196,compra en metro (cencosud),72.96,Alimentacion,2025-06-10
83,1312,pos fonda lo que hay,40.23,Ocio,2025-02-13
84,1459,transferencia a indian,233.79,Vestimenta,2025-01-02
85,686,cargo por coffee lab,71.59,Ocio,2025-01-03
86,113,transferencia a ropa deportiva para entrenar,235.85,Vestimenta,2025-07-30
87,888,transferencia a grupo financiero galicia (byma),265.52,Inversion,2025-04-30
88,122,monitor gamer,520.02,Electrodomesticos,2025-06-06
89,1568,pos fondos de inversión (operados por sociedades administradoras de inversión - sais),228.68,Inversion,2025-07-19
90,1246,latam brasil,154.44,Transporte,2025-04-14
91,1655,cargo por celerity,84.19,Servicios,2025-11-05
92,39,transferencia a paranair,66.96,Transporte,2025-11-10
93,497,consumo teatro castro alves,71.98,Ocio,2025-06-18
94,780,compra en opera,70.37,Ocio,2025-04-05
95,1257,debito hospital nacional (laboratorios/imágenes),187.95,Salud,2025-08-10
96,943,pago centro de rehabilitación física y terapia ocupacional,186.13,Salud,2025-08-07
97,1554,debito pampa energía (byma),545.37,Inversion,2025-09-16
98,149,impuesto sobre ventas,99.45,Servicios,2025-02-28
99,1421,compra en sri (servicio de rentas internas),66.67,Servicios,2025-12-14
100,1022,debito tigo panamá,113.33,Servicios,2025-10-02
101,661,compra en yaguar,51.15,Alimentacion,2025-11-01
102,1662,auto mercado,70.15,Alimentacion,2025-06-27
103,302,consumo teatro municipal de viña del mar,44.57,Ocio,2025-05-19
